exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.41666667,-0.05493164
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.5,-0.015258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.58333333,-0.088500976
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.66666667,-0.100708008
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.75,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.83333333,-0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.91666667,0.009155274
exp19-35,ctrl25_10uM_vx770_vx809,r1,20,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.08333333,-0.033569336
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.18333333,0.006103516
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.26666667,-0.036621094
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.35,-0.033569336
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.43333333,0.009155274
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.51666667,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.6,0.024414063
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.68333333,0.003051758
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.76666667,0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.85,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,20.93333333,0
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.01666667,0.003051758
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.1,0.085449219
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.18333333,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.26666667,0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.35,0.024414063
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.43333333,0.027465821
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.51666667,-0.030517578
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.6,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.68333333,0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.76666667,0.07019043
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.85,0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,21.93333333,0.183105469
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.01666667,0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.1,0.149536133
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.18333333,0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.26666667,0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.35,0.039672852
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.43333333,0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.51666667,0.027465821
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.6,0.109863281
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.68333333,0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.76666667,-0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.85,0.155639649
exp19-35,ctrl25_10uM_vx770_vx809,r1,22.93333333,0.1953125
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.01666667,0.103759766
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.1,0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.18333333,0.115966797
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.26666667,0.262451172
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.35,0.054931641
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.43333333,0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.51666667,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.6,0.170898438
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.68333333,0.146484375
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.76666667,0.164794922
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.85,0.149536133
exp19-35,ctrl25_10uM_vx770_vx809,r1,23.93333333,0.119018555
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.01666667,0.07019043
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.1,0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.18333333,0.091552735
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.26666667,0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.35,0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.43333333,0.210571289
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.51666667,0.088500977
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.61666667,0.146484375
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.7,0.296020508
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.78333333,0.122070313
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.86666667,0.289916992
exp19-35,ctrl25_10uM_vx770_vx809,r1,24.95,0.286865235
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.03333333,0.170898438
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.11666667,0.125122071
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.2,0.061035156
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.28333333,0.158691406
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.36666667,0.170898438
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.45,0.054931641
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.53333333,0.134277344
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.61666667,0.170898438
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.7,0.183105469
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.78333333,0.170898438
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.86666667,0.091552735
exp19-35,ctrl25_10uM_vx770_vx809,r1,25.95,0.262451172
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.03333333,0.164794922
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.11666667,0.131225586
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.2,0.103759766
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.28333333,0.134277344
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.36666667,0.216674805
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.45,0.100708008
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.53333333,0.189208985
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.61666667,0.299072266
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.7,0.152587891
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.78333333,0.16784668
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.86666667,0.180053711
exp19-35,ctrl25_10uM_vx770_vx809,r1,26.95,0.192260742
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.03333333,0.061035156
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.11666667,0.271606445
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.2,0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.28333333,0.164794922
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.36666667,0.189208985
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.45,0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.53333333,0.201416016
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.61666667,0.183105469
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.7,0.177001953
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.78333333,0.146484375
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.86666667,0.173950195
exp19-35,ctrl25_10uM_vx770_vx809,r1,27.95,0.152587891
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.03333333,0.180053711
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.11666667,0.256347656
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.2,0.164794922
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.28333333,0.198364258
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.36666667,0.332641602
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.45,0.173950195
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.53333333,0.274658203
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.61666667,0.231933594
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.7,0.201416016
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.78333333,0.289916992
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.86666667,0.247192383
exp19-35,ctrl25_10uM_vx770_vx809,r1,28.95,0.308227539
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.05,0.16784668
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.13333333,0.1953125
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.21666667,0.189208985
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.3,0.216674805
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.38333333,0.289916992
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.46666667,0.350952149
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.55,0.204467774
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.63333333,0.250244141
exp19-35,ctrl25_10uM_vx770_vx809,r1,29.71666667,0.210571289
